rmse,filenumber
processed_cgm_data_Subject15,25.423496
processed_cgm_data_Subject11,31.398619
processed_cgm_data_Subject13,18.264177
processed_cgm_data_Subject22,20.870985
processed_cgm_data_Subject16,30.639124
processed_cgm_data_Subject20,26.922022
processed_cgm_data_Subject18,22.293615
processed_cgm_data_Subject12,30.087439
processed_cgm_data_Subject14,32.381023
processed_cgm_data_Subject17,29.820951
processed_cgm_data_Subject21,23.42196
processed_cgm_data_Subject19,28.42071
