rmse,filenumber
processed_cgm_data_Subject11,30.512123
processed_cgm_data_Subject8,35.959007
processed_cgm_data_Subject6,20.535986
processed_cgm_data_Subject5,18.462946
processed_cgm_data_Subject10,31.713484
processed_cgm_data_Subject3,19.203478
processed_cgm_data_Subject7,25.865007
processed_cgm_data_Subject4,22.162453
processed_cgm_data_Subject9,24.831602
processed_cgm_data_Subject1,19.14211
processed_cgm_data_Subject2,24.573036
