Test patient,RMSE,MAE,MAPE
1127,24.39950151452491,18.58005617977528,15.372112304153607
1,37.24145376585411,26.69712460063898,21.086846556423446
1010,30.693361722461383,22.579815303430077,20.559094688344974
1015,14.712047948491389,10.228225806451613,7.224643622495923
103,15.041652465754005,10.773123909249565,8.931133253033899
1043,26.50414471928069,18.477345245692405,14.402062797543866
1082,23.280527368284734,16.660984848484848,14.635630578447776
11,18.406843156826213,14.053125,14.501071920515612
1115,21.0022883782423,14.98408656906429,6.670999285589993
1121,30.084426083838324,21.736409608091023,19.607367644981586
1139,23.237311649352904,16.75296262534184,11.051100448389892
114,24.90495516399436,17.923027166882278,11.884958106867128
1143,22.051773211113566,15.79987004548408,10.179903612061993
115,31.57861888769475,23.8285175879397,17.560227992717238
1171,24.025613058886172,17.544933078393882,14.399144922173784
1194,16.268701006405433,12.01941139636819,9.173706577257896
1201,21.09219480798956,15.279671717171718,12.722651692613237
1205,22.84994587576082,16.27387267904509,11.249966027466979
1211,29.97092472904238,21.093037974683543,14.727662014236978
1219,22.7634866050466,16.290931989924434,13.264403092767054
1230,21.605327015354675,15.663212435233161,13.635787212280995
1239,23.56265235745441,17.437660668380463,12.409405838731397
1271,29.728201382640165,21.586983729662077,14.486601565901976
1286,13.946146644940933,10.523720349563046,8.380534723037353
1311,23.99310979070368,17.396288933068256,14.254880651952487
1330,25.59810070931798,18.78638941398866,13.898743639747499
1336,32.8908357138426,23.742765273311896,18.950678284081583
1343,13.44081118851855,8.366216216216216,7.6354103077369455
1345,23.22225156211197,16.645076007931262,12.310112126774726
1348,42.078689652134976,27.74600127959053,16.48654014387754
1361,20.98311401433735,15.078913324708926,14.884998493751667
1362,21.93849754241627,15.937984496124031,13.788187766162585
1363,27.821471202252933,19.34389140271493,13.161875201280694
1377,23.584251548853373,17.706743002544528,13.7158413483181
1381,17.480789602162986,12.289002557544757,9.690090144893714
1386,27.142685665398137,19.917615539182854,17.201793466034072
1408,37.300903872679484,26.863453815261042,16.9179499568684
1422,33.24304955389339,23.900343642611684,16.827333844457375
1427,25.233414376028982,18.82975871313673,17.040353370392296
1433,31.78479781307493,22.19858156028369,20.404032580543884
1435,21.20147297100725,14.571929824561403,9.315508992214278
144,19.83711224054772,14.372745490981965,10.286126325793125
1457,24.79974608722995,18.033142128744423,15.553109880651867
1459,31.14177395612283,23.871643745907008,14.649818341797442
1484,28.09830494951353,18.9394422310757,10.138202288759041
1503,23.765593285739968,17.5567533291059,12.384140423971319
152,25.305817918402006,18.801139962001265,15.453185444543498
1554,25.977790995386812,19.771875,15.996179167748023
1558,32.96826947092483,23.591763005780347,17.92803850042265
1636,16.552415059271432,12.600945307224848,7.730409489801965
1650,19.96142383595022,14.49090909090909,11.524775200438881
1683,24.096176609868266,17.013574660633484,13.12950807399902
1689,21.735430347863428,16.11813013265951,9.583500756400866
1695,21.749816861494292,15.532851511169515,13.573332299523939
1722,23.90905669048945,17.868007542426145,13.320596560910028
1726,21.530495201597816,15.4914718888187,9.81623045769132
173,24.30085572615936,17.556477345245693,13.3064660441647
18,22.376231452201896,16.8237139272271,12.64851924270422
187,26.474049868799753,19.587974683544303,13.799745689310491
24,28.310014167052106,21.261179520414775,17.290993956185314
248,16.201892174794526,12.298689956331877,11.412324914943515
25,19.943830092748158,14.921017402945115,9.685927366985627
252,20.507681077220386,14.710437710437711,12.902700595981303
