rmse,filenumber
processed_cgm_data_Subject35,35.6202
processed_cgm_data_Subject33,35.440235
processed_cgm_data_Subject44,22.623772
processed_cgm_data_Subject38,23.982006
processed_cgm_data_Subject42,21.068525
processed_cgm_data_Subject40,33.305847
processed_cgm_data_Subject37,29.706549
processed_cgm_data_Subject36,30.060633
processed_cgm_data_Subject39,20.892466
processed_cgm_data_Subject43,35.983543
processed_cgm_data_Subject41,25.970085
processed_cgm_data_Subject34,33.3976
