rmse,filenumber
processed_cgm_data_Subject1,21.349463
processed_cgm_data_Subject10,33.650326
processed_cgm_data_Subject11,31.348915
processed_cgm_data_Subject2,25.864742
processed_cgm_data_Subject3,21.502575
processed_cgm_data_Subject4,21.986948
processed_cgm_data_Subject5,19.748062
processed_cgm_data_Subject6,21.140022
processed_cgm_data_Subject7,30.183977
processed_cgm_data_Subject8,37.93099
processed_cgm_data_Subject9,26.467775
