rmse,filenumber
processed_cgm_data_Subject45,57.304443
processed_cgm_data_Subject49,53.976475
processed_cgm_data_Subject44,51.625927
processed_cgm_data_Subject53,59.43154
processed_cgm_data_Subject47,52.01787
processed_cgm_data_Subject50,53.71561
processed_cgm_data_Subject46,56.5366
processed_cgm_data_Subject51,60.049324
processed_cgm_data_Subject54,51.945633
processed_cgm_data_Subject48,55.161743
