rmse,filenumber
1459,23.993256
1363,21.762403
1422,22.965612
1377,23.355223
1408,26.56082
1362,21.729588
1435,18.482483
1361,24.333014
1381,21.952957
1457,26.17293
1348,30.440956
1427,27.484203
1433,26.564146
1386,26.480303
