rmse,filenumber
1239,15.590016
1230,17.441917
1345,19.959486
1271,23.978542
1211,23.408276
1201,18.400898
1343,14.613438
1286,14.950047
1205,20.262081
1219,16.58981
1330,21.266335
1336,24.711504
1311,18.973469
1348,32.79901
